id,objective, theta0, theta1
0.0,4.246883119999999,2.82,2.246,
1.0,3.59833596004352,2.72268,2.490056,
2.0,3.062583527917271,2.59098048,2.686150016,
3.0,2.6087771179255177,2.46911113728,2.866179608576,
4.0,2.2243798555894707,2.35693790558208,3.031863553396736,
5.0,1.8987756940983629,2.2536986792479947,3.1843512996158507,
6.0,1.622972299099911,2.1586820579357413,3.3246939812715235,
7.0,1.3893527030102302,2.0712331452466826,3.4538589077556776,
8.0,1.1914649443138141,1.99074920231662,3.5727363443290043,
9.0,1.0238438812808215,1.9166754960768042,3.6821456500202663,
10.0,0.8818602590628626,1.8485014758145295,3.7828409250606314,
11.0,0.7615928617957043,1.7857572542188938,3.8755162084964594,
12.0,0.6597202188847345,1.728010368697155,3.9608102618318126,
13.0,0.5734288746843381,1.6748628006397852,4.0393109716722275,
14.0,0.5003356882199523,1.6259482320896002,4.111559401714827,
15.0,0.4384220170745583,1.5809295209066523,4.178053522012998,
16.0,0.3859779677708955,1.5394963770265364,4.239251641219473,
17.0,0.34155517299094745,1.501363223795782,4.29557556546444,
18.0,0.30392679146314133,1.4662672296436696,4.347413505641155,
19.0,0.2720536258188823,1.4339664965238157,4.395122753137433,
20.0,0.245055422682358,1.4042383926394228,4.439032142455405,
21.0,0.22218656237722112,1.3768780179605566,4.47944431769308,
22.0,0.2028154668635231,1.3516967919570733,4.5166378185093645,
23.0,0.18640715720602086,1.3285211538131887,4.550868999949985,
24.0,0.1725084788568236,1.3071913661649626,4.582373799366652,
25.0,0.16073558671335328,1.287560414115495,4.611369362607906,
26.0,0.15076334432170152,1.269492991939328,4.638055540690121,
27.0,0.1423163444591394,1.2528645704919479,4.662616267264399,
28.0,0.13516130310777258,1.237560538896537,4.6852208263735395,
29.0,0.12910061676081638,1.2234754145920745,4.706025019237026,
30.0,0.12396690513115981,1.2105121162980716,4.725172238106077,
31.0,0.11961838854612013,1.1985812948848693,4.742794454590275,
32.0,0.11593497236412538,1.1876007175375454,4.759013129267769,
33.0,0.11281493027518495,1.1774947009688004,4.773940048848532,
34.0,0.11017209488657384,1.1681935897742566,4.78767809666077,
35.0,0.10793347800507258,1.1596332763347537,4.800321961771062,
36.0,0.10603725489419027,1.15175475895658,4.811958791625799,
37.0,0.10443105683682892,1.1445037352041383,4.8226687927122445,
38.0,0.10307052484844242,1.1378302276220986,4.832525783379249,
39.0,0.10191808459804046,1.131688239267345,4.841597702627921,
40.0,0.10094190870354865,1.1260354366764764,4.849947078379073,
41.0,0.10011503774285989,1.1208328580837323,4.8576314584449705,
42.0,0.09941463570518537,1.1160446448782322,4.864703807175833,
43.0,0.09882135932023431,1.1116377944496196,4.871212870514973,
44.0,0.09831882384773749,1.1075819327185972,4.877203511978682,
45.0,0.09789315057382417,1.1038491047845325,4.882717021876631,
46.0,0.09753258351728566,1.100413582247175,4.887791401904034,
47.0,0.0972271647601591,1.0972516858744585,4.892461627067152,
48.0,0.0969684594361055,1.0943416223941338,4.896759886747436,
49.0,0.09674932278148997,1.0916633342843172,4.900715806565833,
50.0,0.09656370281571672,1.0891983615276455,4.904356652576457,
51.0,0.09640647320137338,1.0869297143761818,4.907707519197015,
52.0,0.09627329166821517,1.084841756250108,4.910791502171305,
53.0,0.09616048009102884,1.0829200959630843,4.913629857755905,
54.0,0.09606492290944808,1.081151488531445,4.9162421492282595,
55.0,0.09598398108433202,1.0795237438835645,4.918646381725966,
56.0,0.09591541921441551,1.0780256428401636,4.920859126346618,
57.0,0.09585734380037991,1.0766468597864698,4.92289563436358,
58.0,0.09580815095135839,1.0753778915032373,4.92476994234492,
59.0,0.0957664820896716,1.074209991666105,4.926494968900009,
60.0,0.09573118643046936,1.0731351105618276,4.928082603720641,
61.0,0.09570128920006479,1.072145839605879,4.92954378953036,
62.0,0.09567596471523986,1.0712353602790126,4.93088859750684,
63.0,0.09565451358003532,1.070397397130831,4.932126296697165,
64.0,0.09563634337026636,1.06962617452644,4.9332654179044475,
65.0,0.09562095227231711,1.068916376838064,4.934313812486124,
66.0,0.09560791522436375,1.068263111807247,4.935278706469187,
67.0,0.09559687217727963,1.0676618768251152,4.936166750355359,
68.0,0.09558751815101929,1.0671085278982837,4.93698406495946,
69.0,0.0955795948118716,1.066599251086512,4.937736283596937,
70.0,0.09557288333795554,1.06613053621524,4.938428590911317,
71.0,0.09556719837593618,1.065699152681819,4.939065758609197,
72.0,0.09556238292204827,1.065302127188683,4.939652178349085,
73.0,0.0955583039860648,1.0649367232499891,4.9401918920107715,
74.0,0.0955548489184539,1.0646004223304726,4.940688619553855,
75.0,0.09555192229929589,1.0642909064865227,4.941145784657453,
76.0,0.09554944330303233,1.0640060423898263,4.941566538317801,
77.0,0.09554734346627823,1.0637438666234718,4.9419537805663944,
78.0,0.09554556479704032,1.0635025721491558,4.942310180458368,
79.0,0.09554405817313184,1.0632804958522322,4.942638194468877,
80.0,0.09554278198554547,1.0630761070787411,4.9429400834242685,
81.0,0.09554170098932206,1.0628879970854295,4.9432179280847635,
82.0,0.09554078533017618,1.0627148693300281,4.943473643486029,
83.0,0.09554000971999957,1.0625555305348762,4.943708992138503,
84.0,0.09553935273847065,1.0624088824622917,4.94392559617544,
85.0,0.09553879624147986,1.0622739143450028,4.9441249485334176,
86.0,0.09553832486003694,1.0621496959194654,4.944308423242353,
87.0,0.09553792557582133,1.0620353710140515,4.944477284895961,
88.0,0.0955375873616484,1.0619301516479118,4.94463269736793,
89.0,0.09553730087692783,1.061833312599843,4.9447757318338805,
90.0,0.09553705820970194,1.061744186409723,4.944907374154414,
91.0,0.09553685265813777,1.061662158778063,4.945028531670124,
92.0,0.09553667854543915,1.0615866643319671,4.945140039455413,
93.0,0.09553653106306927,1.0615171827283167,4.945242666074216,
94.0,0.09553640613795124,1.0614532350673243,4.945337118877308,
95.0,0.09553630031998028,1.0613943805917279,4.945424048877692,
96.0,0.09553621068674115,1.0613402136488876,4.945504055237686,
97.0,0.09553613476279867,1.0612903608948383,4.945577689398636,
98.0,0.09553607045133229,1.0612444787210242,4.9456454588817005,
99.0,0.09553601597622784,1.061202250885993,4.945707830785931,

